TARGETID,K_R,K_R_ERR,Z
39627763920928978,,inf,2.3518197030590957
39627766252966447,,inf,2.5425170811432323
39627766257159022,,inf,2.4170926028937685
39627808531552804,,inf,2.3751949790742417
39627820619535089,,inf,2.7049822960778602
39627814579740530,,inf,2.630654692186875
39627766261358004,,inf,2.5034434830745496
39627772305348981,,inf,2.3247820814864073
39627752072021700,,inf,2.6018699150865174
39627721944338699,,inf,2.3040850528530457
39627842643822649,,inf,2.727273343646248
39627824557982924,,inf,2.7648856667609274
39627830593586056,,inf,2.7552968440011334
39627818509797762,,inf,2.6281677781473505
39627583502946487,,inf,2.407391481791733
39627589484019783,,inf,2.4685958015272726
39627818593681611,,inf,2.4788712294495516
39627891213861143,,inf,2.4912656690397093
39627879146849470,,inf,2.3940904292000202
39627873111248052,,inf,2.5449260186448703
39627873111245715,,inf,2.3771403439384526
39627806757359817,,inf,2.753810151581345
39627842979369724,,inf,2.5359709824819956
39627866920455444,,inf,2.3990180135588055
39627866924647934,,inf,2.3910172750060514
39627909077402129,,inf,2.724341787643335
39627993080924707,,inf,2.6950965040896553
39628010990604288,,inf,2.483712386871408
39628011032544504,,inf,2.517482178586859
39627981097800689,,inf,2.6678539604359424
39627999036836130,,inf,2.467356436330571
39627993055760646,,inf,2.4136936647581226
39627993059952620,,inf,2.4288751653245066
39627993064148080,,inf,2.589945878704294
39627993064150544,,inf,2.557167558317468
39627909035459663,,inf,2.3874821657928678
39627903008246265,,inf,2.6335996040932415
39627903008246771,,inf,2.410699900761579
39627896993614080,,inf,2.513317006168312
39627896993614047,,inf,2.484346646689434
39627909027071957,,inf,2.5241542682018103
39627896997809630,,inf,2.319867380728908
39627921085695446,,inf,2.645565787139799
39627896997811312,,inf,2.6067933129115683
39627915071063635,,inf,2.7640620657712063
39628017084929765,,inf,2.523404601404599
39628017089122015,,inf,2.5416520931271065
39628023045031513,,inf,2.3150572349726475
39628023045033497,,inf,2.509882287017496
39628034956854513,,inf,2.7167171238381465
39628023049228555,,inf,2.782020990200292
39628034948466093,,inf,2.6278555555835346
39628034948466799,,inf,2.472495160651754
39628170206380219,,inf,2.5830394877249536
39627640138634722,,inf,2.7770764701036983
39627616147213177,,inf,2.3861358309431058
39627628151315943,,inf,2.3925943427956384
39627616151411318,,inf,2.4355726768963444
39627682257834838,,inf,2.546871536375062
39627688293437891,,inf,2.579649098669063
39627622002462558,,inf,2.6999601644061832
