Targetid,mag_g,magerr_g,mag_r,magerr_r,mag_i,magerr_i
39628317598419115,21.191868,-0.018474539550088244,20.932209,-0.01650718358725052,20.575407,-0.049512575153115045
39628317598419503,18.519005,-0.0020151327996978186,18.214508,-0.001631467490773566,18.227665,-0.007121470558870041
39628317615196931,20.608282,-0.010879321297247311,20.390663,-0.009625792156045072,20.178333,-0.03155702939385087
39628317627779800,20.700083,-0.011662017936323673,20.39682,-0.010179121789349758,20.383438,-0.04131889202021992
39628317631975801,19.278917,-0.004470469784123725,19.243834,-0.00509647276483763,19.169596,-0.0238666524385831
39628317636165694,18.269058,-0.0017872362890944977,17.942043,-0.0015308047614488493,18.01848,-0.006609192809423363
39628317644558669,20.640018,-0.011647615863779782,20.331242,-0.01060631304986354,20.171595,-0.037639341432459145
39628317648752549,19.911568,-0.007137474847254837,19.444046,-0.005440719524519782,19.41023,-0.02343937116456439
39628317652945372,18.694172,-0.002771511076259844,18.511623,-0.0024864688329753726,18.378504,-0.009637637463043228
39628323172650427,21.092052,-0.016316990046737957,21.007088,-0.018739034141937668,20.5783,-0.047736832096573784
39628323176842366,19.887045,-0.005656443490068389,19.504972,-0.0045041886590749345,19.415106,-0.01835572047039212
39628323176842447,19.334476,-0.0035988888368689697,19.357222,-0.003959908833529573,19.237782,-0.01533306946935949
39628323176843565,20.89182,-0.013445044493805987,20.557941,-0.011010506028817871,20.632315,-0.052117388891756836
39628323189425013,20.564802,-0.010336508490561338,20.28945,-0.009011739980179444,19.999413,-0.026444014860245967
39628323189426336,20.601614,-0.010448435885181063,20.367943,-0.009651565652199788,20.579775,-0.04220235207493591
39628323189426973,20.50116,-0.00959316753331983,20.133682,-0.007818795182166157,19.834635,-0.02513319051440657
39628323189428194,20.02541,-0.006710660482261348,19.576609,-0.004804422186772927,19.575224,-0.019380469744842577
39628323189429153,21.21671,-0.017997746503433266,20.893314,-0.016200795421161516,20.705359,-0.0676794629763786
39628323197814440,21.21269,-0.01665891828307464,21.086367,-0.019134245643998595,20.765293,-0.07968558228290581
39628323210398268,21.543201,-0.034167379382218546,21.180164,-0.02924216677659294,20.584328,-0.0664492542392185
39628323210399443,21.17481,-0.019946508264585376,21.192558,-0.0318460129079694,20.879889,-0.2022839633431776
39628323218785513,19.307276,-0.0039013280479539775,19.180094,-0.0038350381338507207,18.873343,-0.01272513529622108
39628323218788066,19.20652,-0.0035903865645580714,19.021692,-0.003377543372567513,19.010622,-0.014260469087122911
39628323218789417,20.427826,-0.009795640112550416,19.729563,-0.006150525388721985,19.358625,-0.019893379558745553
39628323222978625,20.313738,-0.009039837293622257,20.129192,-0.0087706980622724,19.849703,-0.028002607719204438
39628323222979781,21.108553,-0.017450892938410293,20.846846,-0.01717843233096456,20.710331,-0.08046378171895198
39628323231367967,19.426527,-0.004381358742086641,19.184364,-0.003926419500159563,19.130337,-0.015547802569292354
39628323235562335,21.39513,-0.06383535779921869,21.273659,-0.1337110096196991,20.972256,-0.20251315710960305
39628323235564944,21.316412,-0.02841858827950887,21.037786,-0.031924037849297385,20.485085,-0.18275883336743595
39628328746879345,20.18263,-0.0074587039017349555,20.101643,-0.007569219609252044,19.96475,-0.02908461516032885
39628328746879669,20.60294,-0.010799302837773422,20.313938,-0.009216773253203544,20.430155,-0.04003855846945026
39628328751071612,20.721415,-0.011514981981735667,20.563446,-0.01146214593673934,20.321924,-0.03977122435201662
39628328751074373,20.65752,-0.011236913865104135,20.338709,-0.009468499060305757,20.13216,-0.03711328511576032
39628328755265580,20.954323,-0.014207537876139417,20.678993,-0.013651712260498619,20.38416,-0.03861633969110762
39628328755267040,20.376394,-0.008888309834555184,20.170807,-0.007911771006687726,20.067047,-0.0270034299575503
39628328755267988,21.860788,-0.11651894474868375,21.338108,-0.05792558895178531,20.952057,-0.14630349979486648
39628328763654292,20.805103,-0.012438049305425313,20.587671,-0.011490330960961343,20.521975,-0.04401489535329293
39628328763655561,20.021557,-0.006817605890797211,19.616093,-0.0050599117628861,19.626173,-0.02120273981389258
39628328763658357,20.030413,-0.006833957609834547,19.61493,-0.004996253239974887,19.512232,-0.019401920022056287
39628328767850126,20.363619,-0.008994314257698218,20.046116,-0.007357084977013732,19.741928,-0.02306302933787652
39628328767850524,20.260925,-0.00825162623014287,20.175688,-0.0082018832731589,19.88043,-0.026218598674126493
39628328767850738,21.605534,-0.06687735759748628,21.151182,-0.023321615911334134,20.636177,-0.093697111723238
39628328767851237,20.44312,-0.009579967288883579,20.350437,-0.009412512759003802,20.036337,-0.03035929629868013
39628328767851685,21.553993,-0.03290461381785781,21.3284,-0.055488137432698405,20.933455,-0.11807583265008324
39628328772046186,20.236198,-0.00796537264103301,20.099964,-0.00774015774674143,20.074814,-0.03296818201206239
39628328780432713,20.21776,-0.008180275375735678,19.958382,-0.007057872419207699,20.003157,-0.030700877504303403
39628328780434730,17.51125,-0.0011659862099572126,16.698795,-0.0007258480139475576,16.362871,-0.0022553202951631195
39628328793017142,20.369152,-0.009528430116468412,20.17601,-0.008806953023709246,19.647512,-0.022542353668887138
39628328793019195,20.761595,-0.01293788995307416,20.708942,-0.01438099508827721,20.479776,-0.04397250728805035
39628328797213389,21.399036,-0.026788976003656234,21.212482,-0.035666463827312415,20.828903,-0.20165644932408086
39628328797213394,17.531101,-0.0011248668107809142,17.577494,-0.0012216498148305561,17.495619,-0.0045611629306137515
